run_id,timestamp,git_commit,data_source,symbol,interval,market_regime,n,pos_rate,auc,auc_inverted,auc_gap,logloss
20260320_151101,2026-03-20T15:11:01.793613,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bear,8514,0.374794456189805,0.49923885943305346,0.5007611405669465,-0.0015222811338930775,0.711699852887438
20260320_151101,2026-03-20T15:11:01.793613,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21046,0.37227976812696,0.5357483661799306,0.4642516338200694,0.0714967323598612,0.7063370820500328
20260320_151101,2026-03-20T15:11:01.793613,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.4583333333333333,0.26573426573426573,0.7342657342657342,-0.46853146853146843,0.6973614046058434
20260321_071353,2026-03-21T07:13:53.930424,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bull,8720,0.37545871559633026,0.48559410761649163,0.5144058923835083,-0.02881178476701668,0.7139317153714951
20260321_071353,2026-03-21T07:13:53.930424,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bear,8510,0.3347826086956522,0.5155234105949527,0.4844765894050473,0.03104682118990537,0.6642409883598915
20260321_071353,2026-03-21T07:13:53.930424,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21050,0.30973871733966746,0.5501354189977157,0.4498645810022842,0.10027083799543146,0.6432779236709096
20260321_071353,2026-03-21T07:13:53.930424,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.3333333333333333,0.2890625,0.7109375,-0.421875,0.6604991766251422
20260321_072714,2026-03-21T07:27:14.396762,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bull,8720,0.37545871559633026,0.48562052346680945,0.5143794765331905,-0.028758953066381043,0.7139116572667039
20260321_072714,2026-03-21T07:27:14.396762,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bear,8510,0.3347826086956522,0.515495633142692,0.484504366857308,0.030991266285383956,0.6642439280700395
20260321_072714,2026-03-21T07:27:14.396762,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21050,0.30973871733966746,0.5501488669518111,0.4498511330481889,0.10029773390362218,0.6432695838479402
20260321_072714,2026-03-21T07:27:14.396762,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.3333333333333333,0.2890625,0.7109375,-0.421875,0.6604991766251422
20260321_074038,2026-03-21T07:40:38.485656,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bull,8720,0.37545871559633026,0.4856415551947695,0.5143584448052305,-0.02871688961046104,0.7138954331090309
20260321_074038,2026-03-21T07:40:38.485656,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bear,8510,0.3347826086956522,0.5154876967277603,0.4845123032722397,0.030975393455520583,0.6642373027751086
20260321_074038,2026-03-21T07:40:38.485656,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21050,0.30973871733966746,0.5501546514720971,0.4498453485279029,0.10030930294419416,0.643237527009114
20260321_074038,2026-03-21T07:40:38.485656,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.3333333333333333,0.2890625,0.7109375,-0.421875,0.6604991766251422
20260321_080853,2026-03-21T08:08:53.541117,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bull,8720,0.37545871559633026,0.4855978652852205,0.5144021347147795,-0.028804269429558993,0.7139238028483166
20260321_080853,2026-03-21T08:08:53.541117,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bear,8510,0.3347826086956522,0.5155116919822802,0.4844883080177198,0.03102338396456039,0.6642424506233342
20260321_080853,2026-03-21T08:08:53.541117,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21050,0.30973871733966746,0.5501472730420244,0.44985272695797573,0.10029454608404864,0.64326553670216
20260321_080853,2026-03-21T08:08:53.541117,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.3333333333333333,0.2890625,0.7109375,-0.421875,0.6604991766251422
20260321_083223,2026-03-21T08:32:23.484430,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bull,8720,0.37545871559633026,0.4855945002087469,0.514405499791253,-0.028810999582506158,0.7139377355325008
20260321_083223,2026-03-21T08:32:23.484430,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bear,8510,0.3347826086956522,0.5155234105949527,0.4844765894050473,0.03104682118990537,0.6642417099956222
20260321_083223,2026-03-21T08:32:23.484430,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21050,0.30973871733966746,0.5501352395509185,0.4498647604490814,0.10027047910183706,0.6432829184494607
20260321_083223,2026-03-21T08:32:23.484430,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.3333333333333333,0.2890625,0.7109375,-0.421875,0.6604991766251422
